date,location,time
2024-11-22 07:42:12,Yishun Avenue 7,1530
2023-11-28 07:48:07,Boon Lay Way/Corporation Rd,1542
2025-04-13 05:57:07,Yishun Avenue 7,1350
2024-11-17 06:25:09,Ophir Road,1408
2025-04-13 06:04:53,Punggol Way (Slip Rd to TPE),1357
2025-04-15 08:38:42,Yishun Avenue 7 (near intersection of Yishun St 22),1635
2024-11-22 07:16:06,Wan Tho Ave (Pheng Geck Ave),1510
2023-07-20 01:32:06,Dunearn Rd (Sime Darby Ctr),0926
2024-12-29 09:09:14,Bukit Timah Rd (near KAP),1705
2024-12-29 09:08:28,Dunearn Road,1500
2024-02-03 10:34:39,Dunearn Road,1827
2025-04-13 06:15:16,KPE (Slip Rd to Buangkok East Drive),1405
2022-03-07 07:25:56,Jurong East Street 32,1520
2022-03-02 09:57:40,KPE towards ECP (after Buangkok Drive Exit),1745
2021-08-30 02:33:40,Punggol Way (Slip Rd to TPE),1013
2018-02-03 04:43:55,slip road of Amber Rd into Mountbatten Rd and slip road of Haig Rd into Mountbatten Rd,1240
2021-08-20 00:14:39,Tampines Avenue 10 (towards TPE),0758
2018-04-23 05:24:09,slip road from Stevens Road to Balmoral Road,1320
2018-11-11 08:05:11,KPE slip road to PIE (towards Changi),1525
2018-05-26 07:49:41,Kramat Lane,1545
2018-04-27 08:08:52,Seletar North Link,1605
2021-07-12 11:31:40,Dunearn Road (Binjai Park),1900
2018-04-20 10:37:55,PIE [towards Tuas] at KJE [BKE] exit,1810
2022-02-27 06:27:55,PIE / Bedok North Ave 3 slip road,1415
2022-02-27 06:21:41,Junction of Eunos Link / Ubi Ave 3,1415
2021-08-30 02:32:40,Hougang Avenue 8,1013
2022-03-07 08:10:55,Enterprise Road,1605
2014-09-24 15:27:55,junction of  Woodlands Road and Mandai Road,2325
2014-03-20 07:47:33,slip road of Yishun Ave 2 and Yishun Ave 5,1546
2014-11-13 08:53:52,Junction of Yishun Ave 2 and Yishun Ave 5 [slip road],1651
2014-09-24 15:33:38,junction of  Woodlands Road and Mandai Road,2332
2014-11-13 09:04:35,Lorong Ong Lye,1703
2014-11-06 08:13:26,Admiralty Road West near Sembawang Shipyard Gate No,1612
2014-11-13 09:03:00,Macpherson Road / Harvey Road,1701
2016-01-22 10:47:28,"Neo Pee Teck Lane, traffic passable",1845
2018-01-24 09:20:34,Craig Road,1716
2013-12-18 08:30:06,Jalan Seaview,1627
2013-12-18 10:56:08,Slip road from Yishun Ave 2 to Yishun Ave 5,1854
2014-11-13 09:05:26,Lorong Gambir,1704
2014-11-17 06:25:30,Hougang Ave 1,1424
2014-11-17 06:23:09,Lorong Gambir,1422
2014-11-17 06:23:35,Lorong Ong Lye,1423
2014-11-17 06:26:16,Macpherson Road,1426
2014-11-17 06:24:08,Tampines Road [Jln Teliti],1423
2022-03-02 09:33:40,Punggol Way (Slip Rd to TPE),1730
2018-01-24 09:19:09,Jln Boon Lay/International Road,1715
2021-11-23 04:39:41,Jurong East Street 32,1230
2013-11-24 05:35:24,junction of Chai Chee Road and New Upper Changi Road,1331
2013-11-04 08:02:54,"Dunearn Road, near Binja Park",1600
2013-11-04 07:51:17,Lorong Kismis,1549
2014-10-31 07:51:37,[Junction of] Woodlands Road and Mandai Estate,1549
2016-01-22 10:45:41,"Neo Pee Teck Lane, traffic passable",1845
2013-11-01 07:37:41,Slip Road Junction of Yishun Ave 2 & Yishun Ave 5,1533
2013-11-01 07:57:29,Ang Mo Kio Ave 5 just before Slip Road to CTE [City],1556
2013-11-04 07:54:28,"Dunearn Road, near Sime Darby Centre",1553
2013-11-04 07:50:28,Junction of Sunset Drive and Sunset Square,1549
2013-11-01 08:00:46,Ang Mo Kio Ave 5 just before Slip Road to CTE [City],1559
2021-09-01 20:17:40,Punggol Way (Slip Rd to TPE),0400
2013-11-04 07:57:35,"Junction of Ulu Pandan Road and Clementi Road, slip road impassable to traffic",1553
2013-12-03 09:23:27,junction of Ang Mo Kio Ave 5 and Ang Mo Kio Industrial Park 2,1720
2013-12-03 08:12:14,junction of Jln Remaja and HillView Ave,1609
2013-11-04 07:59:27,"Dunearn Road, near Sime Darby Centre",1553
2013-11-22 20:56:44,"Sembawang Road near Sembawang Shopping Centre, traffic passable",0450
2013-10-30 05:02:39,Junction of New Upper Changi Road and Chai Chee Road,1301
2013-10-30 05:30:47,slip road of ECP from Bedok South Ave 1 exit towards City,1328
