date,location,time,lat_lon,is_flooded,is_floodprone,rainfall_1hr_prior,rainfall_2hr_prior,rainfall_3hr_prior,nearest_station_distance
2025-04-20,Bt Timah Rd (between Clementi Rd and Blackmore Dr),1705,"1.3365951459866354, 103.78136112577862",1,0,0.0,0.0,0,0.600601296763747
2025-04-20,Coronation Walk,1735,"1.3242244,103.8097309",1,0,4.0,0.0,0,0.006124468827702796
2025-04-20,Kings Rd (between Prince Rd and Lutheran Rd),1705,"1.3216555655474416, 103.80957792936259",1,0,0.0,0.0,0,0.29102838943137754
2025-04-20,Junction of Stevens Road and Balmoral Road,1720,"1.31301,103.8299083",1,1,0.0,0.0,0,0.7821623540122518
2025-04-15,Yishun Avenue 7 (near intersection of Yishun St 22),1635,"1.4394607520380978, 103.83585145678819",1,0,0.0,0.0,0,2.2661737644522715
2025-04-13,KPE (Slip Rd to Buangkok East Drive),1405,"1.375031,103.909223",1,0,0.0,0.0,0,1.7991260579531771
2025-04-13,Punggol Way (Slip Rd to TPE),1357,"1.4008747016653462, 103.89641264830509",1,0,0.0,0.0,0,1.4391919679974416
2025-04-13,Yishun Avenue 7,1350,"1.4384951,103.8332015",1,0,0.0,0.0,0,2.318714021649873
2024-12-29,Bukit Timah Rd (near KAP),1705,"1.3373068968527604, 103.77942756156347",1,0,0.2,0.0,0,0.496159118183603
2024-12-29,Dunearn Road,1500,"1.325467,103.8090096",1,0,0.0,0.0,0,0.15364251486824732
2024-11-22,Yishun Avenue 7,1530,"1.4384951,103.8332015",1,0,4.04,0.0,0,2.318714021649873
2024-11-22,Wan Tho Ave (Pheng Geck Ave),1510,"1.3321392,103.8700728",1,1,0.2,0.0,0,2.151306608609655
2024-11-17,Ophir Road,1408,"1.3024489,103.8566459",1,0,0.0,0.0,0,1.1174392542898108
2024-02-03,Dunearn Road,1827,"1.325467,103.8090096",1,0,0.0,0.0,0,0.15364251486824732
2023-11-28,Boon Lay Way/Corporation Rd,1542,"1.3428518,103.7160287",1,0,0.0,0.0,0,1.1809878169112735
2023-07-20,Dunearn Rd (Sime Darby Ctr),926,"1.3367436,103.7837031",1,0,0.2,0.0,0,0.838695915131025
2022-03-07,Enterprise Road,1605,"1.3332885,103.7054867",1,0,7.92,0.0,0,1.6168929203619031
2022-03-07,Jurong East Street 32,1520,"1.3470214,103.7338564",1,0,0.0,0.0,0,1.420918161675627
2022-03-02,KPE towards ECP (after Buangkok Drive Exit),1745,"1.3800864,103.8941323",1,0,0.203,0.0,0,0.8463356552952952
2022-03-02,Punggol Way (Slip Rd to TPE),1730,"1.4008747016653462, 103.89641264830509",1,0,0.0,0.0,0,1.4391919679974416
2022-02-27,PIE / Bedok North Ave 3 slip road,1415,"1.334611431364797, 103.93369655848748",1,0,0.0,0.0,0,1.5611037754776527
2022-02-27,Junction of Eunos Link / Ubi Ave 3,1415,"1.3347636,103.8994408",1,0,0.0,0.0,0,1.3930826363742186
2021-11-23,Jurong East Street 32,1230,"1.3470214,103.7338564",1,0,0.0,0.0,0,1.420918161675627
2021-09-01,Punggol Way (Slip Rd to TPE),400,"1.4008747016653462, 103.89641264830509",1,0,0.0,0.0,0,1.4391919679974416
2021-08-30,Punggol Way (Slip Rd to TPE),1013,"1.4008747016653462, 103.89641264830509",1,0,0.2,0.0,0,1.4391919679974416
2021-08-30,Hougang Avenue 8,1013,"1.3746983,103.8882516",1,0,0.0,0.0,0,1.4398415111727059
2021-08-20,Tampines Avenue 10 (towards TPE),758,"1.3748039804814367, 103.93131406099447",1,0,5.8,4.4,0,2.5729313596186976
2021-07-12,Dunearn Road (Binjai Park),1900,"1.3351504,103.7864808",1,0,0.0,0.0,0,1.0881815416891398
2018-11-11,KPE slip road to PIE (towards Changi),1525,"1.31981724018845, 103.87575476162365",1,0,0.406,0.0,0,1.7212000066801731
2018-05-26,Kramat Lane,1545,"1.3010114,103.8422569",1,0,8.2,0.0,0,0.46327632606405306
2018-04-27,Seletar North Link,1605,"1.4248542,103.8836981",1,0,0.0,0.0,0,2.0916113399286096
2018-04-23,slip road from Stevens Road to Balmoral Road,1320,"1.3131229076135529, 103.83038429904742",1,1,0.0,0.0,0,0.7376008688925181
2018-04-20,PIE [towards Tuas] at KJE [BKE] exit,1810,"1.3623507414005873, 103.70468689449974",1,0,0.8,0.6,0,1.6327322952872814
2018-02-03,slip road of Amber Rd into Mountbatten Rd,1240,"1.30297462147499, 103.9005021022404",1,0,0.0,0.0,0,1.1673098366516363
2018-02-03,slip road of Haig Rd into Mountbatten Rd,1240,"1.303317786448753, 103.90043205045473",1,0,0.0,0.0,0,1.1610620279926187
2018-01-24,Craig Road,1716,"1.2778048,103.8423234",1,0,0.0,0.0,0,2.437701595447744
2018-01-24,Jln Boon Lay/International Road,1715,"1.3282627,103.7085304",1,0,0.0,0.0,0,2.247934228390664
